country,year,continent,life_expectancy,population,co2_emissions,electric_power_consumption,forest_area,individuals_using_the_internet,military_expenditure,people_practicing_open_defecation,people_using_at_least_basic_drinking_water_services,beer_consumption_per_capita
Namibia,2009,Africa,55.207,2081039,1.451198166,1638.949545,9.012619369,6.5,3.374363684,51.77800881,80.11884673,1.11004
Namibia,2010,Africa,56.665,2118877,1.477197645,1583.343705,8.926368594,11.6,3.514743975,51.29253631,80.52969316,1.05
Namibia,2011,Africa,58.085,2156698,1.544026991,1586.217605,8.84011952,12,3.574588955,50.82212286,80.93454143,1.09
Namibia,2012,Africa,59.387,2194777,1.608363844,1610.795763,8.753870447,12.9414,3.166513185,50.35189358,81.34131012,1.17
Namibia,2013,Africa,60.513,2233506,1.696883716,1660.760979,8.667621373,13.9,3.066233242,49.89706495,81.74201201,1.17
Namibia,2014,Africa,61.425,2273426,1.737465854,1692.406468,8.581372299,14.84,4.203429614,49.45782773,82.13657733,1.22
Namibia,2015,Africa,62.119,2314901,1.814332366,1652.571933,8.495123225,25.68785182,4.405391055,49.03583727,82.52413515,1.24
Namibia,2016,Africa,61.682,2323352,1.78707316,,8.408871722,31.03334594,3.971044925,41.59246089,83.58640627,1.32
Namibia,2017,Africa,62.293,2364534,1.786398504,,8.322620219,36.83740647,3.5223885,40.70565347,83.99611787,1.34
Namibia,2018,Africa,62.586,2405680,1.778831765,,8.236368716,40,3.332692284,39.85349697,84.39131371,1.37
Namibia,2019,Africa,63.075,2446644,1.764171657,,8.150117213,44.8268148,3.297426314,39.03531237,84.83948489,1.37
Namibia,2020,Africa,62.829,2489098,1.588045147,,8.06386571,48.76420428,3.480857094,38.2511755,85.27519175,
Nepal,2000,Asia,62.288,23941099,0.13449675,54.95540594,40.32619463,0.204651684,0.962150318,69.2039243,79.92588437,0.07352
Nepal,2001,Asia,62.945,24347113,0.142111305,58.81100112,40.45264737,0.240015303,1.098334384,65.9577588,80.53110065,0.08105
Nepal,2002,Asia,63.57,24725625,0.1128384,64.48403143,40.5791001,0.31295606,1.44764998,62.87297807,81.0924523,0.07974
Nepal,2003,Asia,64.165,25080880,0.120410447,67.54126539,40.70555284,0.382810917,1.592251101,59.80040348,81.64776834,0.08118
Nepal,2004,Asia,64.729,25419337,0.110545761,70.53181547,40.83200558,0.449843651,1.793292398,56.74039699,82.19693895,0.08195
Nepal,2005,Asia,65.264,25744500,0.123909964,74.43152432,40.95845832,0.826551266,1.929161376,53.69334262,82.7398809,0.07594
Nepal,2006,Asia,65.773,26066687,0.100511426,77.06500418,41.08491106,1.141389164,1.749109863,50.65961634,83.27650407,0.07281
